Tweet_id,sentiment,Text
1223398931931025408,positive,@mimi25846843 ماشاء الله تبارك الله إبداااع بارك الله في هالانامل
1229148888004689923,negative,ياريت ما كنا اتقابلنا او اتقابلنا ف عيشه الطف كان ساعتها ممكن كان ينفع نكمل بس ده قدرنا
1146553243956174848,negative,لمي لسانك قبل ما تتكلمي على الشعب يا نبيهة
1232287905999134721,neutral,#أمر_ملكي #أوامر_ملكية اذا تتمنى صدور قرار إقالة وزير الإسكان ماجد الحقيل من منصبه .. لايك
1254103257745588230,neutral,@MoweSa من فضلك كيف اقدم شكوى على مزرعة داخل الحي السكني يوجد فيها مخالفات كثيرة جدا
1145016385367658504,positive,#منصور_بن_مشعل قسم بالله مالنا عذر نحن جمهور الاهلي انا لو في جدة قسم بالله انام بالنادي حماااااااااااااااس ياملوك 💚💚
1221881193819443201,neutral,ياوجه الرضى وش قصة الحسن في وجهك ؟
1223414931313319936,neutral,هُنا شخص غير مؤذي يتعرض للكثير من الاذى.
1252948179739435008,neutral,#عيالك_يطلبونك_ياملك_سلمان٢ والله احنا نستاهل وانتم كرماء @MinisterVice @minister_moe_sa @moe_gov_sa @mohe_sa
1254735587308789760,neutral,@MCgovSA الله يرحم والديكم شوفو لنا حل معه ذول كل يوم عاطينا موعد وخالفين فيه ونهايةة؟؟.
1229147807921180674,positive,#حنا_عيونكم مبادرة رائعة من مشاهير فضلاء بارك الله في سعيكم وأجزل لكم المثوبة
1245244184363237377,neutral,✍️نبتسم أو نبتئس 👇 الحياة ماضيه والقدر نافِذ فلنُسلم أموُرِنا إلِى الَّله ولنتَوكل عليه 🤲#اسامه #كورونا_الجديد
1214458176000733185,neutral,@SaudiHousingCC انا مدعوم بنسبة ١٠٠٪ كم المبلغ اللي المفروض اخذه من الصندوق
1143500527390593024,neutral,@eMoroor كيف يمكن مشاركة تسجيل المركبة مع ابن عمتيابشر رد لا يمكن تسجيل الا سعودي
1145555504351105024,positive,اكثر من 150 فعالية مختلفة و متنوعة في #موسم_جده تشمل الترفيه و الرياضة و الثقافة تستمر لمدة اربعين يوم 👍🏻
